rbd;dvrbd;nom_rbd;cod_reg_rbd;nom_reg_rbd;cod_pro_rbd;nom_pro_rbd;cod_com_rbd;nom_com_rbd;cod_deprov_rbd;nom_deprov_rbd;cod_depe1;cod_depe2;cod_grupo;cod_rural_rbd;nalu_lect2m_rbd;nalu_mate2m_rbd;prom_lect2m_rbd;prom_mate2m_rbd;dif_lect2m_rbd;dif_mate2m_rbd;difgru_lect2m_rbd;difgru_mate2m_rbd;sigdif_lect2m_rbd;sigdif_mate2m_rbd;siggru_lect2m_rbd;siggru_mate2m_rbd;marca_lect2m_rbd;marca_mate2m_rbd;marcadif_lect2m_rbd;marcadif_mate2m_rbd;palu_eda_ins_lect2m_rbd;palu_eda_ele_lect2m_rbd;palu_eda_ade_lect2m_rbd;palu_eda_ins_mate2m_rbd;palu_eda_ele_mate2m_rbd;palu_eda_ade_mate2m_rbd;noaplica;fecha_bbdd;codigo_bbdd;grado;agno
14324;3;COLEGIO WILLIAM JAMES;5;DE VALPARAÍSO;51;VALPARAÍSO;5109;VIÑA DEL MAR;53;Valparaiso - Isla de Pascua;4;3;5;1;7;7;245;262;;;-41;-61;;;-1;-1;;;2;2;0.0;0.0;0.0;0.0;0.0;0.0;0;20240418;final20240418v1;2m;2023
6830;6;COLEGIO NUESTRA SENORA DEL CARMEN;14;DE LOS RÍOS;141;VALDIVIA;14101;VALDIVIA;141;Valdivia;3;2;3;1;56;54;260;229;-3;-24;4;-35;0;-1;0;-1;;;;;28.6;50.0;21.4;68.5;25.9;5.6;0;20240418;final20240418v1;2m;2023
7826;3;COLEGIO SAN MIGUEL;10;DE LOS LAGOS;101;LLANQUIHUE;10102;CALBUCO;101;Llanquihue;3;2;3;1;105;106;241;240;-2;-1;-15;-24;0;0;-1;-1;;;;;59.0;27.6;13.3;60.4;31.1;8.5;0;20240418;final20240418v1;2m;2023
40126;9;COLEGIO RAUL SILVA HENRIQUEZ;4;DE COQUIMBO;43;LIMARÍ;4301;OVALLE;42;Limari;2;1;1;1;69;71;234;237;12;17;7;10;1;1;1;1;;;;;62.3;34.8;2.9;62.0;32.4;5.6;0;20240418;final20240418v1;2m;2023
18237;0;COLEGIO AMANECER SAN CARLOS;8;DEL BIOBÍO;81;CONCEPCIÓN;8108;SAN PEDRO DE LA PAZ;83;Concepcion;3;2;3;1;63;60;257;274;14;25;1;10;1;1;0;1;;;;;42.9;31.7;25.4;40.0;38.3;21.7;0;20240418;final20240418v1;2m;2023
31327;0;COLEGIO ALICANTE DEL VALLE;13;METROPOLITANA DE SANTIAGO;132;CORDILLERA;13201;PUENTE ALTO;136;Cordillera;3;2;4;1;231;232;281;301;19;8;12;13;1;0;1;1;;;;;22.5;32.5;45.0;23.3;35.8;40.9;0;20240418;final20240418v1;2m;2023
6853;5;LICEO POLITECNICO PESQUERO;14;DE LOS RÍOS;141;VALDIVIA;14106;MARIQUINA;141;Valdivia;2;1;1;2;18;13;225;219;10;;-2;;0;;0;;;2;;1;66.7;22.2;11.1;76.9;23.1;0.0;0;20240418;final20240418v1;2m;2023
26372;2;COLEGIO SAN LUCAS DE LO ESPEJO;13;METROPOLITANA DE SANTIAGO;131;SANTIAGO;13116;LO ESPEJO;132;Sur;3;2;1;1;55;55;242;236;7;8;15;9;0;0;1;1;;;;;50.9;32.7;16.4;61.8;32.7;5.5;0;20240418;final20240418v1;2m;2023
9060;3;LICEO POLITECNICO PEDRO DE VALDIVIA;13;METROPOLITANA DE SANTIAGO;131;SANTIAGO;13120;ÑUÑOA;133;Oriente;5;2;3;1;78;80;236;245;2;-2;-20;-19;0;0;-1;-1;;;;;64.1;16.7;19.2;63.8;23.8;12.5;0;20240418;final20240418v1;2m;2023
12117;7;COMPLEJO EDUCACIONAL J. MIGUEL CARRERA;13;METROPOLITANA DE SANTIAGO;131;SANTIAGO;13125;QUILICURA;137;Norte;2;1;1;1;160;160;216;222;-3;6;-11;-5;0;0;-1;0;;;;;78.1;15.0;6.9;70.0;26.3;3.8;0;20240418;final20240418v1;2m;2023
12781;7;AMAZING GRACE ENGLISH SCHOOL;4;DE COQUIMBO;41;ELQUI;4101;LA SERENA;41;Elqui;4;3;5;1;46;45;291;312;14;8;5;-11;1;0;0;-1;;;;;17.4;34.8;47.8;13.3;37.8;48.9;0;20240418;final20240418v1;2m;2023
22436;7;THE MISSION COLLEGE;10;DE LOS LAGOS;103;OSORNO;10301;OSORNO;103;Osorno;3;2;1;1;116;114;221;230;-16;2;-6;3;-1;0;-1;0;;;;;68.1;21.6;10.3;71.1;21.9;7.0;0;20240418;final20240418v1;2m;2023
13445;7;COLEGIO ESPANOL;4;DE COQUIMBO;41;ELQUI;4102;COQUIMBO;41;Elqui;3;2;3;1;43;41;241;214;26;-5;-15;-50;1;0;-1;-1;;;;;53.5;34.9;11.6;75.6;22.0;2.4;0;20240418;final20240418v1;2m;2023
17859;4;COLEGIO ALMONDALE;8;DEL BIOBÍO;81;CONCEPCIÓN;8108;SAN PEDRO DE LA PAZ;83;Concepcion;3;2;5;1;90;90;291;335;25;22;5;12;1;1;1;1;;;;;15.6;38.9;45.6;4.4;26.7;68.9;0;20240418;final20240418v1;2m;2023
6452;1;LICEO REINO DE SUECIA;9;DE LA ARAUCANÍA;91;CAUTÍN;9116;SAAVEDRA;92;Cautin Norte;6;4;1;1;39;37;222;194;14;-11;-5;-33;1;0;0;-1;;;;;66.7;30.8;2.6;97.3;2.7;0.0;0;20240418;final20240418v1;2m;2023
6120;4;COLEGIO ALBERTO HURTADO;9;DE LA ARAUCANÍA;91;CAUTÍN;9120;VILLARRICA;93;Cautin Sur;3;2;2;1;83;84;239;266;18;44;-1;22;1;1;0;1;;;;;56.6;28.9;14.5;48.8;32.1;19.0;0;20240418;final20240418v1;2m;2023
1875;9;COLEGIO MAITENCILLO;5;DE VALPARAÍSO;51;VALPARAÍSO;5105;PUCHUNCAVÍ;53;Valparaiso - Isla de Pascua;2;1;2;1;24;25;225;228;;;-15;-16;;;-1;-1;;;1;1;70.8;29.2;0.0;76.0;20.0;4.0;0;20240418;final20240418v1;2m;2023
